,molecule_chembl_id,canonical_smiles,standard_relation,standard_value,standard_units,standard_value_nM
5924,CHEMBL3425986,CC(=O)NCCc1ccc2c(c1)O[C@H](NC(C)=O)[C@@H](c1ccc(O)c(O)c1)O2,=,2600.0,nM,2600.0
1772,CHEMBL151322,COC(=O)[C@H](C)NC(=O)c1ccccc1Nc1c(Cl)ccc(C)c1Cl,=,2600.0,nM,2600.0
4852,CHEMBL1916967,O=C(NS(=O)(=O)c1ccc(F)cc1)c1cccc(C(=O)NS(=O)(=O)c2ccc(F)cc2)n1,=,2600.0,nM,2600.0
2058,CHEMBL96950,Cc1ncccc1-c1ncc(Cl)cc1-c1ccc(S(C)(=O)=O)cc1,=,2600.0,nM,2600.0
3470,CHEMBL596887,CC(C(=O)O)c1ccccc1-c1ccn(C(F)F)c(=O)c1,=,2600.0,nM,2600.0
3437,CHEMBL579022,CC(=O)NS(=O)(=O)c1cc(-c2ccn(C(F)F)c(=O)c2)ccc1C(=O)O,=,2600.0,nM,2600.0
1896,CHEMBL108802,CC1(C)OC(=O)C(Cc2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,=,2600.0,nM,2600.0
5966,CHEMBL3596281,COc1ccc(N2CCN(CC3=NOC(C)(C)CC3c3ccccc3)CC2)cc1,=,2600.0,nM,2600.0
1585,CHEMBL357262,CCc1cc(/C=C/C(=O)O)cc(C(=O)c2ccccc2)c1,=,2600.0,nM,2600.0
384,CHEMBL157616,Clc1ccc(-c2nn(-c3ccccc3)c3c2CCC3)cc1,=,2590.0,nM,2590.0
1093,CHEMBL339817,Cc1cc(=O)c(-c2ccc3ccccc3c2)c(-c2ccc(S(C)(=O)=O)cc2)o1,=,2590.0,nM,2590.0
3537,CHEMBL1078091,CS(=O)(=O)Nc1ccncc1Nc1cccc(Br)c1,=,2560.0,nM,2560.0
2711,CHEMBL387879,O=S(=O)(Nc1ccncc1Oc1ccc(Cl)cc1Cl)C(F)(F)F,=,2550.0,nM,2550.0
6339,CHEMBL4061105,Cc1c(C(=O)NCCc2ccccc2)nc2ccc(Cl)cc2c1O,=,2540.0,nM,2540.0
6568,CHEMBL4245581,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)OCc1cc(-c2ccc(F)cc2)n(-c2ccccc2)n1,=,2540.0,nM,2540.0
3257,CHEMBL468886,C/C(=C\c1cc(O)cc(O)c1)c1cccc(F)c1,=,2540.0,nM,2540.0
3530,CHEMBL1080407,COc1ccccc1Nc1cnccc1NS(=O)(=O)C(F)(F)F,=,2530.0,nM,2530.0
5932,CHEMBL3425978,CCO[C@@]1(c2ccc(O)c(O)c2)Oc2ccc(CCO)cc2O[C@@H]1O,=,2520.0,nM,2520.0
1987,CHEMBL14266,CN(CC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2)CC1CC1,=,2500.0,nM,2500.0
3238,CHEMBL458026,COc1ccc(-c2cn(-c3ccc(S(C)(=O)=O)cc3)nn2)cc1,=,2500.0,nM,2500.0
3825,CHEMBL1766294,CS(=O)(=O)c1ccc(-n2nc(CNC(=O)Nc3cccc(C(F)(F)F)c3)cc2-c2ccccc2)cc1,=,2500.0,nM,2500.0
5112,CHEMBL2171253,C[C@H](C(=O)O)c1ccc2c3cc(Cl)ccc3n(C(=O)c3cocn3)c2c1,=,2500.0,nM,2500.0
5731,CHEMBL3322415,NS(=O)(=O)c1ccc(N2CCN=C2c2cccc(Cl)c2)cc1,=,2500.0,nM,2500.0
6428,CHEMBL4065539,NS(=O)(=O)c1ccc(-n2nc(C(=O)Oc3ccc4ccc(=O)oc4c3)cc2-c2ccccc2)cc1,=,2500.0,nM,2500.0
5921,CHEMBL3425989,CC(=O)N[C@H]1Oc2ccc(CCO)cc2O[C@@H]1c1ccc(O)c(O)c1,=,2500.0,nM,2500.0
3239,CHEMBL458025,Cc1ccc(-c2cn(-c3ccc(S(C)(=O)=O)cc3)nn2)cc1,=,2500.0,nM,2500.0
5947,CHEMBL3576980,Cc1ccc(S(=O)(=O)n2cc(C(=O)C(=O)NCC(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)c3ccccc32)cc1,=,2500.0,nM,2500.0
6092,CHEMBL3775406,Cc1ccc(Nc2c(F)cccc2I)c(CC(=O)O)c1,=,2500.0,nM,2500.0
5355,CHEMBL2283159,CC(=O)Nc1ccc(/C(=C\c2ccc(S(C)(=O)=O)cc2)C(=O)O)cc1,=,2500.0,nM,2500.0
3840,CHEMBL221907,CC(C)=CCc1c(-c2ccc(O)cc2O)oc2cc3c(c(O)c2c1=O)C=CC(C)(C)O3,=,2500.0,nM,2500.0
3475,CHEMBL605820,Cc1c(CC(=O)OC(C)C)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,=,2500.0,nM,2500.0
1268,CHEMBL320140,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(Br)cc1,=,2500.0,nM,2500.0
1871,CHEMBL67581,COc1ccc(-n2nc(C(=O)CCCO[N+](=O)[O-])cc2-c2ccc(S(C)(=O)=O)cc2)cc1,=,2500.0,nM,2500.0
6099,CHEMBL3774538,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OCc3ccc(I)cc3)n2)cc1,=,2500.0,nM,2500.0
1334,CHEMBL95659,COc1ccc2c(c1)c(CC(=O)NNCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,=,2500.0,nM,2500.0
2552,CHEMBL365033,Cc1onc(-c2ccccc2)c1-c1ccccc1,=,2490.0,nM,2490.0
5893,CHEMBL3410340,Cc1cccc(C2C3CCc4ccccc4C3=NN2c2ccc(S(N)(=O)=O)cc2)c1,=,2480.0,nM,2480.0
7241,CHEMBL4777518,NS(=O)(=O)c1ccc(-n2nc(C(=O)NC3CCCCC3)cc2-c2ccccc2)cc1,=,2480.0,nM,2480.0
